,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
113,15913625.4885115,4415101.54961814,4815657.34901771,8236053.97282457,2129380.12206388,3901745.54516387,1159408.31438461,1405905.44245795,1017732.3276685,3103690.28209628
114,4722005.6178664,1480396.45996928,2380420.09974317,2371356.42880417,649660.475963894,5828381.86257129,1048372.90489226,534861.612290006,1529290.03323042,3269776.38850012
115,5811064.75008437,1400683.68101542,10721905.3681061,1873585.66076081,964391.650446793,1919502.39675385,1121917.22007808,282953.24891561,1489165.19373284,4837715.49100113
116,11483372.3868773,4075695.86744754,7234105.49841536,1097971.55222311,702778.705641543,3726158.13447362,895001.89338619,863764.025104458,2042018.70227643,2998316.23624545
117,2227471.01970215,4225753.37282803,17703022.3641634,1897752.31096801,1215274.39710242,3705083.21835393,721648.088314477,767819.614651005,1461652.58996283,3311854.73364123
118,3708174.1088653,2531663.92021249,6990409.09369486,4202108.37886321,572958.406755588,3228081.3887776,1097826.37231119,852508.548309741,607000.51094305,4862896.11926828
119,6650286.78947583,1588751.63841953,12127340.9582857,3252147.37443507,417271.932182434,4425865.53109257,1018813.91670636,705444.55403912,1390209.86546623,4420361.93297538
120,7325886.24272708,1399631.26365675,10849584.0423481,4324001.93735648,614135.377986928,2656803.73399647,759951.515781684,1621165.46282011,1791478.10483317,4597257.33010705
121,15764301.3189276,1030903.95019147,5270049.18185169,3146574.72803469,994871.642481766,4516244.3104855,599205.241779028,940502.456053782,2511039.23021196,5064740.37316929
122,26009102.1308121,1125436.44773791,12269360.0609804,1091773.56803404,870437.090367665,1118533.93143037,533359.310404205,1349410.52091402,1280594.20318656,1834695.9764677
123,3826637.37968514,1076427.89640734,9154980.21391109,1915640.00649248,1334091.92816597,3305167.01302042,683580.984309054,251714.045012006,1295170.52784053,2042023.88667593
124,9786265.91618893,6230275.2289312,7544639.73858646,1561113.95870191,1440940.31759547,2511277.98002121,759217.547919215,196090.634698138,1965663.10474284,4509878.70611678
125,3793991.47317254,6636272.79026788,5932097.17437452,3645703.20001738,853114.222911008,3708332.99855747,1316385.67681246,933841.22454698,3068240.89099424,1127995.92842315
126,15246657.7102985,3852578.71829418,6789646.91492091,3591133.86864635,281524.214031883,3365027.90071381,1191156.28385689,1335305.73491076,1048127.82899688,3364026.77139142
127,9814142.18779881,1247738.9955576,4119002.46378189,1544104.5989648,738004.359965888,5217202.85979899,1015260.32495564,1015305.04351338,2734914.58903871,4477866.63159696
